"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","7","C1, C3, C6, C11, C12, C13, C14","0.1uF","device:C","Capacitors_SMD:C_0603",""
"2","2","C2, C4","10uF","device:CP","Capacitors_SMD:C_0805",""
"3","1","C5","1uF","device:C","Capacitors_SMD:C_0805",""
"4","1","C7","10uF","device:C","Capacitors_SMD:C_0805",""
"5","3","C8, C9, C10","10uF","device:CP1_Small","Capacitors_SMD:c_elec_6.3x7.7",""
"6","2","D1, D2","D_Schottky","device:D_Schottky","Diodes_SMD:D_SMA",""
"7","6","D3, D4, D5, D6, D7, D8","LED","device:LED","LEDs:LED_0603",""
"8","1","J1","BATT_JST","conn:Conn_01x02","Connectors_JST:JST_PH_S2B-PH-K_02x2.00mm_Angled",""
"9","2","J2, J5","GS3","conn:GS3","Connectors:GS3",""
"10","1","J3","I2C","conn:Conn_01x04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"11","1","J4","FTDI","conn:Conn_01x06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"12","1","J6","SBus Rx","conn:Conn_01x03","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"13","1","J7","RL","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"14","1","J8","FL","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"15","1","J9","RR","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"16","1","J10","Pi Header","conn:Conn_02x20_Odd_Even","Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm",""
"17","1","J11","FR","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"18","1","J12","RW","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"19","1","J13","FW","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"20","1","J14","3V3 Only","conn:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"21","2","R1, R2","4k7","device:R","Resistors_SMD:R_0603",""
"22","1","R3","47k","device:R","Resistors_SMD:R_0603",""
"23","1","R4","22k","device:R","Resistors_SMD:R_0603",""
"24","2","R5, R6","10k","device:R","Resistors_SMD:R_0603",""
"25","6","R7, R8, R9, R10, R11, R12","330","device:R","Resistors_SMD:R_0603",""
"26","1","R13","100","device:R","Resistors_SMD:R_0603",""
"27","1","SW1","POWER","switches:SW_SPDT_MSM","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"28","1","SW2","RESET","switches:SW_Push","Pushbutton:SW_SPST_EVPBF",""
"29","1","SW3","PROGRAM","switches:SW_Push","Pushbutton:SW_SPST_EVPBF",""
"30","1","U1","BA50DD0WHFP","BA33DD0WHFP_Regulator:BA33DD0WHFP","HRP:HRP5",""
"31","1","U2","BA33DD0WHFP","BA33DD0WHFP_Regulator:BA33DD0WHFP","HRP:HRP5",""
"32","1","U3","XBee","xbee:XBee","xbee:XBEE",""
"33","1","U4","ESP32-WROOM","ESP32-footprints-Shem-Lib:ESP32-WROOM","ESP32-footprints-Lib:ESP32-WROOM",""
"34","3","U5, U6, U7","BD622xxx","bd622xxx_HBridge:BD622xxx","HRP:HRP7",""
"35","4","U8, U9, U10, U11","WS2812B","ws2812b:WS2812B","LEDs:LED_WS2812B-PLCC4",""
